week,hsp_flu_rate,hsp_covid_rate,age,year
2,6.1681933716285615E-2,18.60648627093299,ALL,2022
3,7.5162695918874395E-2,16.719504904272679,ALL,2022
4,0.14720503732538673,16.364491126837734,ALL,2022
5,0.13043454513275748,13.604870480916269,ALL,2022
6,0.11333287194261911,11.648306577300799,ALL,2022
7,0.31175196230045871,10.607708630889906,ALL,2022
8,0.31682302184530947,9.840342474612763,ALL,2022
9,0.3108766410400689,11.665973966657001,ALL,2022
10,0.69644341012416111,14.129436532076957,ALL,2022
11,0.66877246033223914,18.568300240854562,ALL,2022
12,1.0362829854395446,20.146999445096004,ALL,2022
13,0.91917156236938369,21.357426409356297,ALL,2022
14,1.1485631240916976,20.235696154984215,ALL,2022
15,0.65757637580995698,16.773921437076087,ALL,2022
16,0.69622323701871769,13.046868762678709,ALL,2022
17,0.35897971438268544,10.162566375123067,ALL,2022
18,0.50817073951159286,8.457636222239115,ALL,2022
19,0.40609990726589179,6.7631700757926838,ALL,2022
20,0.31686329055985551,5.565024409021861,ALL,2022
21,0.22438039305591459,4.5112454747218491,ALL,2022
22,0.22187465260358813,4.6903326929929916,ALL,2022
23,0.1502580593782728,6.2216329260584473,ALL,2022
24,0.1755416117001995,7.9635625495510878,ALL,2022
25,0.16445915277771053,11.210174942446718,ALL,2022
26,0.16838731844795052,15.671233117017087,ALL,2022
27,6.7776524194482365E-2,17.920053323730627,ALL,2022
28,0.2369900636837442,18.074579029955128,ALL,2022
29,0.17771482723675214,15.470906157900131,ALL,2022
30,0.11466181815346543,11.920690807306531,ALL,2022
31,0.10510500252514769,10.098697857789864,ALL,2022
32,0.21567914863989296,9.0306290839899344,ALL,2022
33,0.12250175534806935,7.3390849820691031,ALL,2022
34,8.0263272707425809E-2,6.1576402904291667,ALL,2022
35,0.17805057453254655,5.4577528905579973,ALL,2022
36,0.25858264531195407,4.9006661428875011,ALL,2022
37,0.19709681645280128,4.9914850391211125,ALL,2022
38,0.28565671228405987,7.4295626801809664,ALL,2022
39,0.40151052485878452,10.502757795019352,ALL,2022
40,0.62338914513261223,12.495991922478701,ALL,2022
41,0.81984752475734557,11.582729330094702,ALL,2022
42,0.93255615715021889,9.7939096391540232,ALL,2022
43,1.0281164378651702,7.8218780904287426,ALL,2022
44,1.2839972312350614,5.3096596287365179,ALL,2022
45,1.4864495550026655,5.0685712806768848,ALL,2022
46,2.3715806798065073,4.5125468613928064,ALL,2022
47,2.8562005792058516,4.8847425757003746,ALL,2022
48,3.944291262991571,5.434484252243986,ALL,2022
49,6.8827763842717911,6.6312116181894005,ALL,2022
50,10.861203673136124,9.5558408508659092,ALL,2022
51,15.70533602156503,11.755946136468927,ALL,2022
52,11.165129572629121,10.760569351478273,ALL,2022
1,6.3510011543878573,9.08007392625629,ALL,2023
